# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)n_ncdm[1]          16:(.)rho_ncdm[1]        17:(.)p_ncdm[1]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_dcdm           22:(.)rho_dr             23:gr.fac. D             24:gr.fac. f          
       9.999999999990e+11       7.555867752667e-22       4.633275239030e-07       2.158298610861e+18       1.417800942565e+04       1.417800942565e-08       1.417800942565e+16       2.675024977009e-07       2.751560535470e+36       2.451390603497e+27       1.112650056054e+25       2.009121583218e+23       6.331470950076e+35       2.110490316692e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.498811954607e-08       1.273545247419e+36       4.658252893644e+36       1.328504166928e+28       1.309279337465e+02       6.998576886682e-18       2.000000000000e+12 
       9.930486593833e+11       7.662020138725e-22       4.665707820095e-07       2.128396764738e+18       1.417800942564e+04       1.427725549162e-08       1.407945325287e+16       2.693750151842e-07       2.675846458098e+36       2.400623788821e+27       1.089607747286e+25       1.967513892084e+23       6.157249276516e+35       2.052416425505e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.498811954607e-08       1.238501386978e+36       4.530072788149e+36       1.300991650260e+28       1.298281412554e+02       9.763873813933e-08       1.433565615445e+02 
       9.861456399039e+11       7.769663859652e-22       4.698376869783e-07       2.098909189560e+18       1.417800942564e+04       1.437719628006e-08       1.398158217763e+16       2.712606402898e-07       2.602215788101e+36       2.350908324129e+27       1.067042630777e+25       1.926767871034e+23       5.987821621877e+35       1.995940540626e+35       4.516804897809e+03       4.512288073658e+03       1.494273414630e-03       3.498811954607e-08       1.204421820627e+36       4.405419786017e+36       1.274048901148e+28       1.287412128438e+02       1.952774762705e-07       7.167828077442e+01 
       9.792906056642e+11       7.878819867214e-22       4.731264198199e-07       2.069830145865e+18       1.417800942564e+04       1.447783665402e-08       1.388439143756e+16       2.731594647711e-07       2.530611196823e+36       2.302222436599e+27       1.044944824165e+25       1.886865675401e+23       5.823056070211e+35       1.941018690070e+35       6.665968128254e+03       6.659302107326e+03       2.189013566111e-03       3.498811954607e-08       1.171280014099e+36       4.284196832733e+36       1.247664120052e+28       1.276669154778e+02       2.929162144006e-07       4.778552051658e+01 
       9.724832231024e+11       7.989509407525e-22       4.764387995237e-07       2.041153973713e+18       1.417800942563e+04       1.457918151060e-08       1.378787630343e+16       2.750715810238e-07       2.460976933108e+36       2.254544804313e+27       1.023304649743e+25       1.847789830072e+23       5.662824335471e+35       1.887608111824e+35       6.527919965663e+03       6.521391949442e+03       2.113981114928e-03       3.498811954607e-08       1.139050163268e+36       4.166309544406e+36       1.221825751793e+28       1.266050216949e+02       3.905549525296e-07       3.583914038745e+01 
       9.657231609756e+11       8.101754025186e-22       4.797730071004e-07       2.012875091576e+18       1.417800942563e+04       1.468123578117e-08       1.369203207888e+16       2.769970820903e-07       2.393258779892e+36       2.207854546915e+27       1.002112630227e+25       1.809523221833e+23       5.507001661628e+35       1.835667220543e+35       1.081599530080e+04       1.080517914244e+04       3.500239264251e-03       3.498811954607e-08       1.107707174051e+36       4.051666134289e+36       1.196522480491e+28       1.255553094570e+02       4.881936906575e-07       2.867131230991e+01 
       9.590100903431e+11       8.215575567479e-22       4.831308615394e-07       1.984987995256e+18       1.417800942563e+04       1.478400443163e-08       1.359685410017e+16       2.789360616641e-07       2.327404011990e+36       2.162131216469e+27       9.813594845994e+24       1.772049091874e+23       5.355466725536e+35       1.785155575179e+35       1.278826108146e+04       1.277547258255e+04       4.108471935401e-03       3.498811954607e-08       1.077226642876e+36       3.940177341309e+36       1.171743224612e+28       1.245175620066e+02       5.858324287843e-07       2.389276025819e+01 
       9.523436845512e+11       8.330996188619e-22       4.865141818300e-07       1.957487256809e+18       1.417800942562e+04       1.488749246265e-08       1.350233773601e+16       2.808886140950e-07       2.263361355044e+36       2.117354788504e+27       9.610361240486e+24       1.735351028450e+23       5.208101542472e+35       1.736033847491e+35       1.688540704303e+04       1.686852131749e+04       5.421770573372e-03       3.498811954607e-08       1.047584837677e+36       3.831756360570e+36       1.147477132114e+28       1.234915677274e+02       6.834711669101e-07       2.047950879266e+01 
       9.457236192166e+11       8.448038354063e-22       4.899193299934e-07       1.930367523496e+18       1.417800942562e+04       1.499170490989e-08       1.340847838730e+16       2.828548343928e-07       2.201080945601e+36       2.073505653242e+27       9.411336479857e+24       1.699412959693e+23       5.064791374273e+35       1.688263791424e+35       1.653572049007e+04       1.651918434734e+04       5.235929451209e-03       3.498811954607e-08       1.018758679418e+36       3.726318775767e+36       1.123713575695e+28       1.224771200085e+02       7.811099050349e-07       1.791957019351e+01 
       9.391495722111e+11       8.566724844888e-22       4.933481250191e-07       1.903623516733e+18       1.417800942562e+04       1.509664684425e-08       1.331527148689e+16       2.848348182327e-07       2.140514292289e+36       2.030564607014e+27       9.216433401478e+24       1.664219146573e+23       4.925424639999e+35       1.641808213333e+35       1.834405104304e+04       1.832570646180e+04       5.767341161948e-03       3.498811954607e-08       9.907257241253e+35       3.623782493459e+36       1.100442148136e+28       1.214740171122e+02       8.787486431587e-07       1.592850683862e+01 
